benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9831,0.9831,1.0000,1.0000,1.0000,1.0000,1.0000,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-015138
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9831,0.9605,-,0.9789,1.0000,0.9286,0.9789,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-015853
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,-,-,1.0000,0.9474,1.0000,0.9286,0.9474,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-020744
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9746,0.9689,1.0000,1.0000,1.0000,1.0000,1.0000,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-133124
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9915,0.9492,-,1.0000,1.0000,1.0000,1.0000,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-143450
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,-,-,1.0000,0.8737,1.0000,1.0000,0.8737,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-car-listings-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-145111
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,1.0000,1.0000,0.9783,0.9783,1.0000,1.0000,1.0000,1.0000,1.0000,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-car-listings-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-205420
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,1.0000,0.7544,0.9953,0.9303,-,0.9368,1.0000,0.6905,0.7439,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-car-listings-Qwen3.6-27B-long-prompt-updated-4-20260522-212537
