benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9333,0.9583,1.0000,1.0000,0.9333,1.0000,0.8667,0.8696,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-030829
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9792,1.0000,-,1.0000,1.0000,1.0000,1.0000,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-031328
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8140,-,-,0.7500,0.6047,0.7500,0.5312,0.6078,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-032918
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9565,0.9778,1.0000,0.9762,1.0000,0.9375,0.9592,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-234516
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,0.9792,1.0000,-,1.0000,1.0000,1.0000,1.0000,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260430-002614
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8810,-,-,1.0000,0.8571,1.0000,0.8667,0.9167,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260502-071229
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,1.0000,0.8737,0.9590,1.0000,0.9583,0.8661,1.0000,0.8444,0.8294,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_horror-film-character-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-220253
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,1.0000,0.8167,0.9592,1.0000,-,1.0000,1.0000,0.7889,0.8008,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_horror-film-character-Qwen3.6-27B-long-prompt-updated-4-20260522-223956
