benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.8000,0.8102,0.9754,0.9477,0.6500,0.6861,1.0000,0.7857,0.6289,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-170223
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9270,0.9938,0.9938,-,0.8788,1.0000,0.8214,0.7733,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-172028
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.7500,0.7956,-,-,0.6500,0.7299,1.0000,0.8929,0.6101,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-172655
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9000,0.9051,-,-,0.9000,0.8978,1.0000,0.8571,0.7610,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-220821
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9000,0.8905,0.9692,0.9262,0.9000,0.8248,1.0000,0.8929,0.7947,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-200330
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.7500,0.7080,0.9846,0.9692,-,0.9470,0.6667,0.6429,0.6507,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-airline-data-tables-Qwen3.6-27B-long-prompt-updated-4-20260511-214319
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.7667,0.8078,0.9815,0.9754,0.6833,0.7762,1.0000,0.8452,0.8079,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-airline-data-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-203725
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,0.9167,0.8905,0.9785,0.9754,-,0.9545,0.8889,0.7976,0.8059,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-airline-data-Qwen3.6-27B-long-prompt-updated-4-20260522-221251
