benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9264,0.9599,0.9420,-,0.8991,1.0000,0.9032,0.8950,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260426-011356
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9286,0.8745,-,-,0.6071,0.4892,1.0000,0.9032,0.5297,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260426-035807
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.8571,0.8355,0.9554,0.9349,0.6429,0.5411,1.0000,0.8065,0.6484,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260430-124240
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.8571,0.8442,0.9242,0.9010,0.5714,0.3030,1.0000,0.6774,0.3699,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-Qwen3.6-27B-long-prompt-updated-4-20260501-114713
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.7532,0.9304,0.9197,-,0.8440,1.0000,0.6452,0.7169,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-Qwen3.6-27B-long-prompt-updated-4-20260501-151218
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9286,0.8918,-,-,0.6071,0.5541,1.0000,0.9677,0.5571,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-goby_selected-tables-Qwen3.6-27B-long-prompt-updated-4-20260502-212642
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.8690,0.8225,0.9518,0.9486,0.8690,0.7229,1.0000,0.7742,0.6986,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-goby_selected-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-210655
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,1.0000,0.8932,0.9141,0.8956,-,0.8394,1.0000,0.7097,0.8006,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-goby_selected-Qwen3.6-27B-long-prompt-updated-4-20260522-205423
