benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9600,0.9320,0.9000,0.9029,0.9600,0.8980,1.0000,0.7812,0.6836,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-133819
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8503,0.9371,0.8914,-,0.9248,1.0000,0.8750,0.8927,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-140639
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9728,-,-,1.0000,0.8435,1.0000,0.9688,0.8588,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-141522
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8095,0.9800,0.9286,-,0.8722,1.0000,0.7500,0.6441,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-032129
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.8800,0.8503,-,-,0.8400,0.7143,1.0000,0.9375,0.7062,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-034731
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9200,0.9116,0.9429,0.9343,0.8400,0.7483,1.0000,0.6875,0.5780,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_paintings-collection-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-012412
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.9867,0.9592,0.8990,0.8905,0.9733,0.9116,1.0000,0.9167,0.9171,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_paintings-collection-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-221630
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,1.0000,0.8481,0.9619,0.9133,-,0.8496,1.0000,0.7500,0.6262,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_paintings-collection-Qwen3.6-27B-long-prompt-updated-4-20260522-230232
