benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9091,0.8525,1.0000,1.0000,0.9091,0.9016,1.0000,0.9524,0.9756,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-214437
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.7143,1.0000,1.0000,-,1.0000,1.0000,0.5000,0.3929,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-215118
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9091,0.8571,-,-,0.7273,0.7679,0.7500,0.5909,0.5738,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-215342
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.7143,0.9785,1.0000,1.0000,0.7143,1.0000,0.5000,0.3929,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-153540
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.5000,0.6071,1.0000,1.0000,-,1.0000,0.7500,0.8095,0.8750,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-224556
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.6923,0.6316,-,-,0.6923,0.6140,1.0000,0.8000,0.8289,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-231154
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.9091,0.8241,0.9858,1.0000,0.7652,0.7391,0.9167,0.6023,0.5411,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-park_events-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-214446
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,0.7500,0.6786,1.0000,1.0000,-,1.0000,0.8889,0.6074,0.5897,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-park_events-Qwen3.6-27B-long-prompt-updated-4-20260522-211229
