benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.7857,0.8375,0.9133,0.8800,0.7143,0.7250,1.0000,0.7619,0.6702,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-174654
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.6875,0.9800,0.9467,-,0.9054,1.0000,0.6667,0.6277,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-175713
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9286,0.9500,-,-,0.9286,0.8500,1.0000,0.9048,0.7340,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-180159
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.7857,0.7750,0.9400,0.9267,0.5000,0.4625,1.0000,0.8095,0.4574,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-043307
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8750,0.9467,0.9067,-,0.8108,1.0000,0.6667,0.6383,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-053726
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.7143,0.7250,-,-,0.7143,0.7125,1.0000,0.8095,0.6383,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_monuments-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-055124
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.8095,0.8375,0.9578,0.9267,0.7619,0.7167,1.0000,0.7937,0.6844,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_monuments-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-220744
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,0.8571,0.6750,0.9733,0.9533,-,0.9009,0.8333,0.6032,0.5284,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_monuments-Qwen3.6-27B-long-prompt-updated-4-20260522-205150
