benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9524,0.9771,0.9793,0.9793,0.9524,0.8971,1.0000,0.9091,0.9275,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-152129
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.6190,0.7600,0.9945,0.9834,-,0.9102,0.5000,0.5455,0.5751,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-154607
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,1.0000,-,-,1.0000,0.8800,1.0000,0.9545,0.8912,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260507-155849
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9048,0.8914,0.9682,0.9488,0.9048,0.7143,1.0000,0.7273,0.7876,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-062006
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9257,0.9765,0.9723,-,0.9162,1.0000,0.8182,0.7927,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-084245
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.9048,0.8686,-,-,0.9048,0.7086,1.0000,0.9091,0.7824,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_research-articles-tables-Qwen3.6-27B-long-prompt-updated-4-20260512-091450
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.9683,0.9790,0.9857,0.9829,0.9683,0.8971,1.0000,0.8182,0.7801,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_research-articles-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-224557
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,1.0000,0.8571,0.9793,0.9451,-,0.9102,1.0000,0.8030,0.7890,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_research-articles-Qwen3.6-27B-long-prompt-updated-4-20260522-213555
