benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.8696,0.8455,0.9892,0.9892,0.8696,0.8943,1.0000,0.9756,0.9877,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-214437
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.6667,0.6780,0.9892,0.9892,-,1.0000,0.5000,0.4444,0.3235,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-215118
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.8696,0.8136,-,-,0.6957,0.7288,0.8571,0.6190,0.4965,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260424-215342
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.6667,0.6780,0.9733,0.9838,0.6667,0.6780,0.5000,0.4444,0.3235,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-153540
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.6667,0.5763,0.9892,0.9892,-,1.0000,0.8571,0.8293,0.8750,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-224556
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.7200,0.6050,-,-,0.7200,0.5882,1.0000,0.8000,0.8077,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-park_events-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-231154
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.8174,0.8039,0.9750,0.9838,0.6928,0.7154,0.7857,0.5652,0.4677,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-park_events-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-214446
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,0.6722,0.6441,1.0000,1.0000,-,1.0000,0.6556,0.5762,0.5259,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-park_events-Qwen3.6-27B-long-prompt-updated-4-20260522-211229
