benchmark,model_name,prompt_name,reasoning,demonstration,num_runs,self_consistency,generated_knowledge,detect_tables_phase_entity,detect_tables_phase_attributes,schema_matching_phase,schema_matching_phase_removed,grouping_phase,schema_integration_phase,final_integration_entity,final_integration_attributes,final_integration_mappings,sequence_of_phases,log_file_name
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.9091,0.8936,0.9787,1.0000,0.9091,0.8936,1.0000,0.7647,0.7273,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-030829
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,1.0000,0.9362,1.0000,0.9787,-,1.0000,1.0000,1.0000,1.0000,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-031328
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,True,False,0.7273,0.7447,-,-,0.5455,0.5532,1.0000,1.0000,0.5636,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-gpt-5.2-2025-12-11-long-prompt-updated-4-20260428-032918
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8936,0.9362,0.9362,1.0000,0.8723,1.0000,0.8824,0.8545,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260429-234516
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,1.0000,0.8511,1.0000,0.9574,-,1.0000,1.0000,0.8824,0.8545,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260430-002614
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,True,False,0.8182,0.7872,-,-,0.8182,0.7660,1.0000,0.7647,0.6000,detect_tables_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-test-wikidbs_horror-film-character-tables-Qwen3.6-27B-long-prompt-updated-4-20260502-071229
SINT-Benchmark,gpt-5.2-2025-12-11,long-prompt-updated-4,None,0,3,False,False,0.8182,0.8369,0.9929,1.0000,0.7879,0.8298,1.0000,0.7451,0.6788,detect_tables_phase->schema_matching_phase->grouping_phase->schema_integration_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_horror-film-character-gpt-5.2-2025-12-11-long-prompt-updated-4-20260522-220253
SINT-Benchmark,Qwen/Qwen3.6-27B,long-prompt-updated-4,None,0,3,False,False,0.7576,0.6950,1.0000,1.0000,-,1.0000,0.7778,0.7255,0.7212,schema_matching_phase->schema_integration_phase->detect_tables_phase->final_integration_phase,logs/llm-workflow-SINT-Benchmark-wikidbs_horror-film-character-Qwen3.6-27B-long-prompt-updated-4-20260522-223956
